Emoji 16.0
🫨	Shaking Face
🧑🏼‍❤️‍💋‍🧑🏻	Kiss: Person, Person, Medium-Light Skin Tone, Light Skin Tone
🧑🏼‍❤️‍💋‍🧑🏽	Kiss: Person, Person, Medium-Light Skin Tone, Medium Skin Tone
🧑🏼‍❤️‍💋‍🧑🏾	Kiss: Person, Person, Medium-Light Skin Tone, Medium-Dark Skin Tone
🧑🏼‍❤️‍💋‍🧑🏿	Kiss: Person, Person, Medium-Light Skin Tone, Dark Skin Tone
🧑🏽‍❤️‍💋‍🧑🏻	Kiss: Person, Person, Medium Skin Tone, Light Skin Tone
🧑🏽‍❤️‍💋‍🧑🏼	Kiss: Person, Person, Medium Skin Tone, Medium-Light Skin Tone
🧑🏽‍❤️‍💋‍🧑🏾	Kiss: Person, Person, Medium Skin Tone, Medium-Dark Skin Tone
🧑🏽‍❤️‍💋‍🧑🏿	Kiss: Person, Person, Medium Skin Tone, Dark Skin Tone
🧑🏾‍❤️‍💋‍🧑🏻	Kiss: Person, Person, Medium-Dark Skin Tone, Light Skin Tone
🧑🏾‍❤️‍💋‍🧑🏼	Kiss: Person, Person, Medium-Dark Skin Tone, Medium-Light Skin Tone
🧑🏾‍❤️‍💋‍🧑🏽	Kiss: Person, Person, Medium-Dark Skin Tone, Medium Skin Tone
🧑🏾‍❤️‍💋‍🧑🏿	Kiss: Person, Person, Medium-Dark Skin Tone, Dark Skin Tone
🧑🏿‍❤️‍💋‍🧑🏻	Kiss: Person, Person, Dark Skin Tone, Light Skin Tone
🧑🏿‍❤️‍💋‍🧑🏼	Kiss: Person, Person, Dark Skin Tone, Medium-Light Skin Tone
🧑🏿‍❤️‍💋‍🧑🏽	Kiss: Person, Person, Dark Skin Tone, Medium Skin Tone
🧑🏿‍❤️‍💋‍🧑🏾	Kiss: Person, Person, Dark Skin Tone, Medium-Dark Skin Tone
👩🏻‍❤️‍💋‍👨🏻	Kiss: Woman, Man, Light Skin Tone
👩🏻‍❤️‍💋‍👨🏼	Kiss: Woman, Man, Light Skin Tone, Medium-Light Skin Tone
👩🏻‍❤️‍💋‍👨🏽	Kiss: Woman, Man, Light Skin Tone, Medium Skin Tone
👩🏻‍❤️‍💋‍👨🏾	Kiss: Woman, Man, Light Skin Tone, Medium-Dark Skin Tone
👩🏻‍❤️‍💋‍👨🏿	Kiss: Woman, Man, Light Skin Tone, Dark Skin Tone
👩🏼‍❤️‍💋‍👨🏻	Kiss: Woman, Man, Medium-Light Skin Tone, Light Skin Tone
👩🏼‍❤️‍💋‍👨🏼	Kiss: Woman, Man, Medium-Light Skin Tone
👩🏼‍❤️‍💋‍👨🏽	Kiss: Woman, Man, Medium-Light Skin Tone, Medium Skin Tone
👩🏼‍❤️‍💋‍👨🏾	Kiss: Woman, Man, Medium-Light Skin Tone, Medium-Dark Skin Tone
👩🏼‍❤️‍💋‍👨🏿	Kiss: Woman, Man, Medium-Light Skin Tone, Dark Skin Tone
👩🏽‍❤️‍💋‍👨🏻	Kiss: Woman, Man, Medium Skin Tone, Light Skin Tone
👩🏽‍❤️‍💋‍👨🏼	Kiss: Woman, Man, Medium Skin Tone, Medium-Light Skin Tone
👩🏽‍❤️‍💋‍👨🏽	Kiss: Woman, Man, Medium Skin Tone
👩🏽‍❤️‍💋‍👨🏾	Kiss: Woman, Man, Medium Skin Tone, Medium-Dark Skin Tone
👩🏽‍❤️‍💋‍👨🏿	Kiss: Woman, Man, Medium Skin Tone, Dark Skin Tone
👩🏾‍❤️‍💋‍👨🏻	Kiss: Woman, Man, Medium-Dark Skin Tone, Light Skin Tone
👩🏾‍❤️‍💋‍👨🏼	Kiss: Woman, Man, Medium-Dark Skin Tone, Medium-Light Skin Tone
👩🏾‍❤️‍💋‍👨🏽	Kiss: Woman, Man, Medium-Dark Skin Tone, Medium Skin Tone
👩🏾‍❤️‍💋‍👨🏾	Kiss: Woman, Man, Medium-Dark Skin Tone
👩🏾‍❤️‍💋‍👨🏿	Kiss: Woman, Man, Medium-Dark Skin Tone, Dark Skin Tone
👩🏿‍❤️‍💋‍👨🏻	Kiss: Woman, Man, Dark Skin Tone, Light Skin Tone
👩🏿‍❤️‍💋‍👨🏼	Kiss: Woman, Man, Dark Skin Tone, Medium-Light Skin Tone
👩🏿‍❤️‍💋‍👨🏽	Kiss: Woman, Man, Dark Skin Tone, Medium Skin Tone
👩🏿‍❤️‍💋‍👨🏾	Kiss: Woman, Man, Dark Skin Tone, Medium-Dark Skin Tone
👩🏿‍❤️‍💋‍👨🏿	Kiss: Woman, Man, Dark Skin Tone
👨🏻‍❤️‍💋‍👨🏻	Kiss: Man, Man, Light Skin Tone
👨🏻‍❤️‍💋‍👨🏼	Kiss: Man, Man, Light Skin Tone, Medium-Light Skin Tone
👨🏻‍❤️‍💋‍👨🏽	Kiss: Man, Man, Light Skin Tone, Medium Skin Tone
👨🏻‍❤️‍💋‍👨🏾	Kiss: Man, Man, Light Skin Tone, Medium-Dark Skin Tone
👨🏻‍❤️‍💋‍👨🏿	Kiss: Man, Man, Light Skin Tone, Dark Skin Tone
👨🏼‍❤️‍💋‍👨🏻	Kiss: Man, Man, Medium-Light Skin Tone, Light Skin Tone
👨🏼‍❤️‍💋‍👨🏼	Kiss: Man, Man, Medium-Light Skin Tone
👨🏼‍❤️‍💋‍👨🏽	Kiss: Man, Man, Medium-Light Skin Tone, Medium Skin Tone
👨🏼‍❤️‍💋‍👨🏾	Kiss: Man, Man, Medium-Light Skin Tone, Medium-Dark Skin Tone
👨🏼‍❤️‍💋‍👨🏿	Kiss: Man, Man, Medium-Light Skin Tone, Dark Skin Tone
👨🏽‍❤️‍💋‍👨🏻	Kiss: Man, Man, Medium Skin Tone, Light Skin Tone
👨🏽‍❤️‍💋‍👨🏼	Kiss: Man, Man, Medium Skin Tone, Medium-Light Skin Tone
👨🏽‍❤️‍💋‍👨🏽	Kiss: Man, Man, Medium Skin Tone
👨🏽‍❤️‍💋‍👨🏾	Kiss: Man, Man, Medium Skin Tone, Medium-Dark Skin Tone
👨🏽‍❤️‍💋‍👨🏿	Kiss: Man, Man, Medium Skin Tone, Dark Skin Tone
👨🏾‍❤️‍💋‍👨🏻	Kiss: Man, Man, Medium-Dark Skin Tone, Light Skin Tone
👨🏾‍❤️‍💋‍👨🏼	Kiss: Man, Man, Medium-Dark Skin Tone, Medium-Light Skin Tone
👨🏾‍❤️‍💋‍👨🏽	Kiss: Man, Man, Medium-Dark Skin Tone, Medium Skin Tone
👨🏾‍❤️‍💋‍👨🏾	Kiss: Man, Man, Medium-Dark Skin Tone
👨🏾‍❤️‍💋‍👨🏿	Kiss: Man, Man, Medium-Dark Skin Tone, Dark Skin Tone
👨🏿‍❤️‍💋‍👨🏻	Kiss: Man, Man, Dark Skin Tone, Light Skin Tone
👨🏿‍❤️‍💋‍👨🏼	Kiss: Man, Man, Dark Skin Tone, Medium-Light Skin Tone
👨🏿‍❤️‍💋‍👨🏽	Kiss: Man, Man, Dark Skin Tone, Medium Skin Tone
👨🏿‍❤️‍💋‍👨🏾	Kiss: Man, Man, Dark Skin Tone, Medium-Dark Skin Tone
👨🏿‍❤️‍💋‍👨🏿	Kiss: Man, Man, Dark Skin Tone
👩🏻‍❤️‍💋‍👩🏻	Kiss: Woman, Woman, Light Skin Tone
👩🏻‍❤️‍💋‍👩🏼	Kiss: Woman, Woman, Light Skin Tone, Medium-Light Skin Tone
👩🏻‍❤️‍💋‍👩🏽	Kiss: Woman, Woman, Light Skin Tone, Medium Skin Tone
👩🏻‍❤️‍💋‍👩🏾	Kiss: Woman, Woman, Light Skin Tone, Medium-Dark Skin Tone
👩🏻‍❤️‍💋‍👩🏿	Kiss: Woman, Woman, Light Skin Tone, Dark Skin Tone
👩🏼‍❤️‍💋‍👩🏻	Kiss: Woman, Woman, Medium-Light Skin Tone, Light Skin Tone
👩🏼‍❤️‍💋‍👩🏼	Kiss: Woman, Woman, Medium-Light Skin Tone
👩🏼‍❤️‍💋‍👩🏽	Kiss: Woman, Woman, Medium-Light Skin Tone, Medium Skin Tone
👩🏼‍❤️‍💋‍👩🏾	Kiss: Woman, Woman, Medium-Light Skin Tone, Medium-Dark Skin Tone
👩🏼‍❤️‍💋‍👩🏿	Kiss: Woman, Woman, Medium-Light Skin Tone, Dark Skin Tone
👩🏽‍❤️‍💋‍👩🏻	Kiss: Woman, Woman, Medium Skin Tone, Light Skin Tone
👩🏽‍❤️‍💋‍👩🏼	Kiss: Woman, Woman, Medium Skin Tone, Medium-Light Skin Tone
👩🏽‍❤️‍💋‍👩🏽	Kiss: Woman, Woman, Medium Skin Tone
👩🏽‍❤️‍💋‍👩🏾	Kiss: Woman, Woman, Medium Skin Tone, Medium-Dark Skin Tone
👩🏽‍❤️‍💋‍👩🏿	Kiss: Woman, Woman, Medium Skin Tone, Dark Skin Tone
👩🏾‍❤️‍💋‍👩🏻	Kiss: Woman, Woman, Medium-Dark Skin Tone, Light Skin Tone
👩🏾‍❤️‍💋‍👩🏼	Kiss: Woman, Woman, Medium-Dark Skin Tone, Medium-Light Skin Tone
👩🏾‍❤️‍💋‍👩🏽	Kiss: Woman, Woman, Medium-Dark Skin Tone, Medium Skin Tone
👩🏾‍❤️‍💋‍👩🏾	Kiss: Woman, Woman, Medium-Dark Skin Tone
👩🏾‍❤️‍💋‍👩🏿	Kiss: Woman, Woman, Medium-Dark Skin Tone, Dark Skin Tone
👩🏿‍❤️‍💋‍👩🏻	Kiss: Woman, Woman, Dark Skin Tone, Light Skin Tone
👩🏿‍❤️‍💋‍👩🏼	Kiss: Woman, Woman, Dark Skin Tone, Medium-Light Skin Tone
👩🏿‍❤️‍💋‍👩🏽	Kiss: Woman, Woman, Dark Skin Tone, Medium Skin Tone
👩🏿‍❤️‍💋‍👩🏾	Kiss: Woman, Woman, Dark Skin Tone, Medium-Dark Skin Tone
👩🏿‍❤️‍💋‍👩🏿	Kiss: Woman, Woman, Dark Skin Tone
💑🏻	Couple with Heart: Light Skin Tone
💑🏼	Couple with Heart: Medium-Light Skin Tone
💑🏽	Couple with Heart: Medium Skin Tone
💑🏾	Couple with Heart: Medium-Dark Skin Tone
💑🏿	Couple with Heart: Dark Skin Tone
🧑🏻‍❤️‍🧑🏼	Couple with Heart: Person, Person, Light Skin Tone, Medium-Light Skin Tone
🧑🏻‍❤️‍🧑🏽	Couple with Heart: Person, Person, Light Skin Tone, Medium Skin Tone
🧑🏻‍❤️‍🧑🏾	Couple with Heart: Person, Person, Light Skin Tone, Medium-Dark Skin Tone
🧑🏻‍❤️‍🧑🏿	Couple with Heart: Person, Person, Light Skin Tone, Dark Skin Tone
🧑🏼‍❤️‍🧑🏻	Couple with Heart: Person, Person, Medium-Light Skin Tone, Light Skin Tone
🧑🏼‍❤️‍🧑🏽	Couple with Heart: Person, Person, Medium-Light Skin Tone, Medium Skin Tone
🧑🏼‍❤️‍🧑🏾	Couple with Heart: Person, Person, Medium-Light Skin Tone, Medium-Dark Skin Tone
🧑🏼‍❤️‍🧑🏿	Couple with Heart: Person, Person, Medium-Light Skin Tone, Dark Skin Tone
🧑🏽‍❤️‍🧑🏻	Couple with Heart: Person, Person, Medium Skin Tone, Light Skin Tone
🧑🏽‍❤️‍🧑🏼	Couple with Heart: Person, Person, Medium Skin Tone, Medium-Light Skin Tone
🧑🏽‍❤️‍🧑🏾	Couple with Heart: Person, Person, Medium Skin Tone, Medium-Dark Skin Tone
🧑🏽‍❤️‍🧑🏿	Couple with Heart: Person, Person, Medium Skin Tone, Dark Skin Tone
🧑🏾‍❤️‍🧑🏻	Couple with Heart: Person, Person, Medium-Dark Skin Tone, Light Skin Tone
🧑🏾‍❤️‍🧑🏼	Couple with Heart: Person, Person, Medium-Dark Skin Tone, Medium-Light Skin Tone
🧑🏾‍❤️‍🧑🏽	Couple with Heart: Person, Person, Medium-Dark Skin Tone, Medium Skin Tone
🧑🏾‍❤️‍🧑🏿	Couple with Heart: Person, Person, Medium-Dark Skin Tone, Dark Skin Tone
🧑🏿‍❤️‍🧑🏻	Couple with Heart: Person, Person, Dark Skin Tone, Light Skin Tone
🧑🏿‍❤️‍🧑🏼	Couple with Heart: Person, Person, Dark Skin Tone, Medium-Light Skin Tone
🧑🏿‍❤️‍🧑🏽	Couple with Heart: Person, Person, Dark Skin Tone, Medium Skin Tone
🧑🏿‍❤️‍🧑🏾	Couple with Heart: Person, Person, Dark Skin Tone, Medium-Dark Skin Tone
👩🏻‍❤️‍👨🏻	Couple with Heart: Woman, Man, Light Skin Tone
👩🏻‍❤️‍👨🏼	Couple with Heart: Woman, Man, Light Skin Tone, Medium-Light Skin Tone
👩🏻‍❤️‍👨🏽	Couple with Heart: Woman, Man, Light Skin Tone, Medium Skin Tone
👩🏻‍❤️‍👨🏾	Couple with Heart: Woman, Man, Light Skin Tone, Medium-Dark Skin Tone
👩🏻‍❤️‍👨🏿	Couple with Heart: Woman, Man, Light Skin Tone, Dark Skin Tone
👩🏼‍❤️‍👨🏻	Couple with Heart: Woman, Man, Medium-Light Skin Tone, Light Skin Tone
👩🏼‍❤️‍👨🏼	Couple with Heart: Woman, Man, Medium-Light Skin Tone
👩🏼‍❤️‍👨🏽	Couple with Heart: Woman, Man, Medium-Light Skin Tone, Medium Skin Tone
👩🏼‍❤️‍👨🏾	Couple with Heart: Woman, Man, Medium-Light Skin Tone, Medium-Dark Skin Tone
👩🏼‍❤️‍👨🏿	Couple with Heart: Woman, Man, Medium-Light Skin Tone, Dark Skin Tone
👩🏽‍❤️‍👨🏻	Couple with Heart: Woman, Man, Medium Skin Tone, Light Skin Tone
👩🏽‍❤️‍👨🏼	Couple with Heart: Woman, Man, Medium Skin Tone, Medium-Light Skin Tone
👩🏽‍❤️‍👨🏽	Couple with Heart: Woman, Man, Medium Skin Tone
👩🏽‍❤️‍👨🏾	Couple with Heart: Woman, Man, Medium Skin Tone, Medium-Dark Skin Tone
👩🏽‍❤️‍👨🏿	Couple with Heart: Woman, Man, Medium Skin Tone, Dark Skin Tone
👩🏾‍❤️‍👨🏻	Couple with Heart: Woman, Man, Medium-Dark Skin Tone, Light Skin Tone
👩🏾‍❤️‍👨🏼	Couple with Heart: Woman, Man, Medium-Dark Skin Tone, Medium-Light Skin Tone
👩🏾‍❤️‍👨🏽	Couple with Heart: Woman, Man, Medium-Dark Skin Tone, Medium Skin Tone
👩🏾‍❤️‍👨🏾	Couple with Heart: Woman, Man, Medium-Dark Skin Tone
👩🏾‍❤️‍👨🏿	Couple with Heart: Woman, Man, Medium-Dark Skin Tone, Dark Skin Tone
👩🏿‍❤️‍👨🏻	Couple with Heart: Woman, Man, Dark Skin Tone, Light Skin Tone
👩🏿‍❤️‍👨🏼	Couple with Heart: Woman, Man, Dark Skin Tone, Medium-Light Skin Tone
👩🏿‍❤️‍👨🏽	Couple with Heart: Woman, Man, Dark Skin Tone, Medium Skin Tone
👩🏿‍❤️‍👨🏾	Couple with Heart: Woman, Man, Dark Skin Tone, Medium-Dark Skin Tone
👩🏿‍❤️‍👨🏿	Couple with Heart: Woman, Man, Dark Skin Tone
👨🏻‍❤️‍👨🏻	Couple with Heart: Man, Man, Light Skin Tone
👨🏻‍❤️‍👨🏼	Couple with Heart: Man, Man, Light Skin Tone, Medium-Light Skin Tone
👨🏻‍❤️‍👨🏽	Couple with Heart: Man, Man, Light Skin Tone, Medium Skin Tone
👨🏻‍❤️‍👨🏾	Couple with Heart: Man, Man, Light Skin Tone, Medium-Dark Skin Tone
👨🏻‍❤️‍👨🏿	Couple with Heart: Man, Man, Light Skin Tone, Dark Skin Tone
👨🏼‍❤️‍👨🏻	Couple with Heart: Man, Man, Medium-Light Skin Tone, Light Skin Tone
👨🏼‍❤️‍👨🏼	Couple with Heart: Man, Man, Medium-Light Skin Tone
👨🏼‍❤️‍👨🏽	Couple with Heart: Man, Man, Medium-Light Skin Tone, Medium Skin Tone
👨🏼‍❤️‍👨🏾	Couple with Heart: Man, Man, Medium-Light Skin Tone, Medium-Dark Skin Tone
👨🏼‍❤️‍👨🏿	Couple with Heart: Man, Man, Medium-Light Skin Tone, Dark Skin Tone
👨🏽‍❤️‍👨🏻	Couple with Heart: Man, Man, Medium Skin Tone, Light Skin Tone
👨🏽‍❤️‍👨🏼	Couple with Heart: Man, Man, Medium Skin Tone, Medium-Light Skin Tone
👨🏽‍❤️‍👨🏽	Couple with Heart: Man, Man, Medium Skin Tone
👨🏽‍❤️‍👨🏾	Couple with Heart: Man, Man, Medium Skin Tone, Medium-Dark Skin Tone
👨🏽‍❤️‍👨🏿	Couple with Heart: Man, Man, Medium Skin Tone, Dark Skin Tone
👨🏾‍❤️‍👨🏻	Couple with Heart: Man, Man, Medium-Dark Skin Tone, Light Skin Tone
👨🏾‍❤️‍👨🏼	Couple with Heart: Man, Man, Medium-Dark Skin Tone, Medium-Light Skin Tone
👨🏾‍❤️‍👨🏽	Couple with Heart: Man, Man, Medium-Dark Skin Tone, Medium Skin Tone
👨🏾‍❤️‍👨🏾	Couple with Heart: Man, Man, Medium-Dark Skin Tone
👨🏾‍❤️‍👨🏿	Couple with Heart: Man, Man, Medium-Dark Skin Tone, Dark Skin Tone
👨🏿‍❤️‍👨🏻	Couple with Heart: Man, Man, Dark Skin Tone, Light Skin Tone
👨🏿‍❤️‍👨🏼	Couple with Heart: Man, Man, Dark Skin Tone, Medium-Light Skin Tone
👨🏿‍❤️‍👨🏽	Couple with Heart: Man, Man, Dark Skin Tone, Medium Skin Tone
👨🏿‍❤️‍👨🏾	Couple with Heart: Man, Man, Dark Skin Tone, Medium-Dark Skin Tone
👨🏿‍❤️‍👨🏿	Couple with Heart: Man, Man, Dark Skin Tone
👩🏻‍❤️‍👩🏻	Couple with Heart: Woman, Woman, Light Skin Tone
👩🏻‍❤️‍👩🏼	Couple with Heart: Woman, Woman, Light Skin Tone, Medium-Light Skin Tone
👩🏻‍❤️‍👩🏽	Couple with Heart: Woman, Woman, Light Skin Tone, Medium Skin Tone
👩🏻‍❤️‍👩🏾	Couple with Heart: Woman, Woman, Light Skin Tone, Medium-Dark Skin Tone
👩🏻‍❤️‍👩🏿	Couple with Heart: Woman, Woman, Light Skin Tone, Dark Skin Tone
👩🏼‍❤️‍👩🏻	Couple with Heart: Woman, Woman, Medium-Light Skin Tone, Light Skin Tone
👩🏼‍❤️‍👩🏼	Couple with Heart: Woman, Woman, Medium-Light Skin Tone
👩🏼‍❤️‍👩🏽	Couple with Heart: Woman, Woman, Medium-Light Skin Tone, Medium Skin Tone
👩🏼‍❤️‍👩🏾	Couple with Heart: Woman, Woman, Medium-Light Skin Tone, Medium-Dark Skin Tone
👩🏼‍❤️‍👩🏿	Couple with Heart: Woman, Woman, Medium-Light Skin Tone, Dark Skin Tone
👩🏽‍❤️‍👩🏻	Couple with Heart: Woman, Woman, Medium Skin Tone, Light Skin Tone
👩🏽‍❤️‍👩🏼	Couple with Heart: Woman, Woman, Medium Skin Tone, Medium-Light Skin Tone
👩🏽‍❤️‍👩🏽	Couple with Heart: Woman, Woman, Medium Skin Tone
👩🏽‍❤️‍👩🏾	Couple with Heart: Woman, Woman, Medium Skin Tone, Medium-Dark Skin Tone
👩🏽‍❤️‍👩🏿	Couple with Heart: Woman, Woman, Medium Skin Tone, Dark Skin Tone
👩🏾‍❤️‍👩🏻	Couple with Heart: Woman, Woman, Medium-Dark Skin Tone, Light Skin Tone
👩🏾‍❤️‍👩🏼	Couple with Heart: Woman, Woman, Medium-Dark Skin Tone, Medium-Light Skin Tone
👩🏾‍❤️‍👩🏽	Couple with Heart: Woman, Woman, Medium-Dark Skin Tone, Medium Skin Tone
👩🏾‍❤️‍👩🏾	Couple with Heart: Woman, Woman, Medium-Dark Skin Tone
👩🏾‍❤️‍👩🏿	Couple with Heart: Woman, Woman, Medium-Dark Skin Tone, Dark Skin Tone
👩🏿‍❤️‍👩🏻	Couple with Heart: Woman, Woman, Dark Skin Tone, Light Skin Tone
👩🏿‍❤️‍👩🏼	Couple with Heart: Woman, Woman, Dark Skin Tone, Medium-Light Skin Tone
👩🏿‍❤️‍👩🏽	Couple with Heart: Woman, Woman, Dark Skin Tone, Medium Skin Tone
👩🏿‍❤️‍👩🏾	Couple with Heart: Woman, Woman, Dark Skin Tone, Medium-Dark Skin Tone
👩🏿‍❤️‍👩🏿	Couple with Heart: Woman, Woman, Dark Skin Tone
🥲	Smiling Face with Tear
🥸	Disguised Face
🤌	Pinched Fingers
🫀	Anatomical Heart
🫁	Lungs
🥷	Ninja
🫂	People Hugging
🦬	Bison
🦣	Mammoth
🦫	Beaver
🦤	Dodo
🪶	Feather
🦭	Seal
🪲	Beetle
🪳	Cockroach
🪰	Fly
🪱	Worm
🪴	Potted Plant
🫐	Blueberries
🫒	Olive
🫑	Bell Pepper
🫓	Flatbread
🫔	Tamale
🫕	Fondue
🫖	Teapot
🧋	Bubble Tea
🪨	Rock
🪵	Wood
🛖	Hut
🛻	Pickup Truck
🛼	Roller Skate
🪄	Magic Wand
🪅	Piñata
🪆	Nesting Dolls
🪡	Sewing Needle
🪢	Knot
🩴	Thong Sandal
🪖	Military Helmet
🪗	Accordion
🪘	Long Drum
🪙	Coin
🪃	Boomerang
🪚	Carpentry Saw
🪛	Screwdriver
🪝	Hook
🪜	Ladder
🛗	Elevator
🪞	Mirror
🪟	Window
🪠	Plunger
🪤	Mouse Trap
🪣	Bucket
🪥	Toothbrush
🪦	Headstone
🪧	Placard
⚧️	Transgender Symbol
🤌🏻	Pinched Fingers: Light Skin Tone
🤌🏼	Pinched Fingers: Medium-Light Skin Tone
🤌🏽	Pinched Fingers: Medium Skin Tone
🤌🏾	Pinched Fingers: Medium-Dark Skin Tone
🤌🏿	Pinched Fingers: Dark Skin Tone
🥷🏻	Ninja: Light Skin Tone
🥷🏼	Ninja: Medium-Light Skin Tone
🥷🏽	Ninja: Medium Skin Tone
🥷🏾	Ninja: Medium-Dark Skin Tone
🥷🏿	Ninja: Dark Skin Tone
🤵‍♂️	Man in Tuxedo
🤵🏻‍♂️	Man in Tuxedo: Light Skin Tone
🤵🏼‍♂️	Man in Tuxedo: Medium-Light Skin Tone
🤵🏽‍♂️	Man in Tuxedo: Medium Skin Tone
🤵🏾‍♂️	Man in Tuxedo: Medium-Dark Skin Tone
🤵🏿‍♂️	Man in Tuxedo: Dark Skin Tone
🤵‍♀️	Woman in Tuxedo
🤵🏻‍♀️	Woman in Tuxedo: Light Skin Tone
🤵🏼‍♀️	Woman in Tuxedo: Medium-Light Skin Tone
🤵🏽‍♀️	Woman in Tuxedo: Medium Skin Tone
🤵🏾‍♀️	Woman in Tuxedo: Medium-Dark Skin Tone
🤵🏿‍♀️	Woman in Tuxedo: Dark Skin Tone
👰‍♂️	Man with Veil
👰🏻‍♂️	Man with Veil: Light Skin Tone
👰🏼‍♂️	Man with Veil: Medium-Light Skin Tone
👰🏽‍♂️	Man with Veil: Medium Skin Tone
👰🏾‍♂️	Man with Veil: Medium-Dark Skin Tone
👰🏿‍♂️	Man with Veil: Dark Skin Tone
👰‍♀️	Woman with Veil
👰🏻‍♀️	Woman with Veil: Light Skin Tone
👰🏼‍♀️	Woman with Veil: Medium-Light Skin Tone
👰🏽‍♀️	Woman with Veil: Medium Skin Tone
👰🏾‍♀️	Woman with Veil: Medium-Dark Skin Tone
👰🏿‍♀️	Woman with Veil: Dark Skin Tone
👩‍🍼	Woman Feeding Baby
👩🏻‍🍼	Woman Feeding Baby: Light Skin Tone
👩🏼‍🍼	Woman Feeding Baby: Medium-Light Skin Tone
👩🏽‍🍼	Woman Feeding Baby: Medium Skin Tone
👩🏾‍🍼	Woman Feeding Baby: Medium-Dark Skin Tone
👩🏿‍🍼	Woman Feeding Baby: Dark Skin Tone
👨‍🍼	Man Feeding Baby
👨🏻‍🍼	Man Feeding Baby: Light Skin Tone
👨🏼‍🍼	Man Feeding Baby: Medium-Light Skin Tone
👨🏽‍🍼	Man Feeding Baby: Medium Skin Tone
👨🏾‍🍼	Man Feeding Baby: Medium-Dark Skin Tone
👨🏿‍🍼	Man Feeding Baby: Dark Skin Tone
🧑‍🍼	Person Feeding Baby
🧑🏻‍🍼	Person Feeding Baby: Light Skin Tone
🧑🏼‍🍼	Person Feeding Baby: Medium-Light Skin Tone
🧑🏽‍🍼	Person Feeding Baby: Medium Skin Tone
🧑🏾‍🍼	Person Feeding Baby: Medium-Dark Skin Tone
🧑🏿‍🍼	Person Feeding Baby: Dark Skin Tone
🧑‍🎄	Mx Claus
🧑🏻‍🎄	Mx Claus: Light Skin Tone
🧑🏼‍🎄	Mx Claus: Medium-Light Skin Tone
🧑🏽‍🎄	Mx Claus: Medium Skin Tone
🧑🏾‍🎄	Mx Claus: Medium-Dark Skin Tone
🧑🏿‍🎄	Mx Claus: Dark Skin Tone
🐈‍⬛	Black Cat
🐻‍❄️	Polar Bear
🏳️‍⚧️	Transgender Flag
🧑‍🦰	Person: Red Hair
🧑🏻‍🦰	Person: Light Skin Tone, Red Hair
🧑🏼‍🦰	Person: Medium-Light Skin Tone, Red Hair
🧑🏽‍🦰	Person: Medium Skin Tone, Red Hair
